location,Y,date
atlanta,72124.59925,02/08/21
atlanta,96381.96574,03/08/21
atlanta,114118.1607,04/08/21
atlanta,110429.7314,05/08/21
atlanta,146833.5777,06/08/21
atlanta,186425.5529,07/08/21
atlanta,152099.391,08/08/21
atlanta,199649.063,09/08/21
atlanta,182967.3891,10/08/21
atlanta,194353.9167,11/08/21
atlanta,178552.5875,12/08/21
atlanta,193354.3401,13/08/21
atlanta,218801.0195,14/08/21
atlanta,181924.5865,15/08/21
atlanta,222933.2152,16/08/21
atlanta,174506.5302,17/08/21
atlanta,203717.114,18/08/21
atlanta,185366.8808,19/08/21
atlanta,179728.6661,20/08/21
atlanta,205663.345,21/08/21
atlanta,174577.2684,22/08/21
atlanta,165503.3882,23/08/21
atlanta,145218.5404,24/08/21
atlanta,122777.8833,25/08/21
atlanta,122715.6348,26/08/21
atlanta,99250.76268,27/08/21
atlanta,94342.59991,28/08/21
atlanta,58691.177,29/08/21
atlanta,41895.38105,30/08/21
atlanta,14214.08077,31/08/21
atlanta,63589.36977,01/09/21
atlanta,77104.94502,02/09/21
atlanta,98060.64995,03/09/21
atlanta,129981.5459,04/09/21
atlanta,120713.8315,05/09/21
atlanta,163365.3903,06/09/21
atlanta,161880.4143,07/09/21
atlanta,142481.8254,08/09/21
atlanta,168879.7339,09/09/21
atlanta,171093.3417,10/09/21
atlanta,232336.3331,11/09/21
atlanta,179333.1517,12/09/21
atlanta,220456.7119,13/09/21
atlanta,183812.7236,14/09/21
atlanta,196162.8344,15/09/21
austin,49811.07219,03/06/21
austin,49106.52253,04/06/21
austin,61073.42268,05/06/21
austin,79274.32099,06/06/21
austin,90614.54625,07/06/21
austin,78566.69904,08/06/21
austin,85081.24172,09/06/21
austin,80951.85975,10/06/21
austin,84007.10626,11/06/21
austin,93751.696,12/06/21
austin,91172.30721,13/06/21
austin,96667.08179,14/06/21
austin,118478.3005,15/06/21
austin,97732.25865,16/06/21
austin,106019.3304,17/06/21
austin,94382.16713,18/06/21
austin,88431.30538,19/06/21
austin,97347.73578,20/06/21
austin,105582.022,21/06/21
austin,90249.19958,22/06/21
austin,84602.1999,23/06/21
austin,73904.32771,24/06/21
austin,62327.00727,25/06/21
austin,50669.71577,26/06/21
austin,50349.62665,27/06/21
austin,43789.54642,28/06/21
austin,32796.95142,29/06/21
austin,19912.7154,30/06/21
austin,31703.66017,01/07/21
austin,43922.54632,02/07/21
austin,47893.52379,03/07/21
austin,61077.86828,04/07/21
austin,67556.63035,05/07/21
austin,75152.55755,06/07/21
austin,92315.30654,07/07/21
austin,98499.01432,08/07/21
austin,94524.62512,09/07/21
austin,95601.10806,10/07/21
austin,97542.67934,11/07/21
austin,94467.93895,12/07/21
austin,102058.9678,13/07/21
austin,108477.1536,14/07/21
austin,124858.3542,15/07/21
austin,108827.1883,16/07/21
austin,111348.433,17/07/21
austin,88856.62128,18/07/21
austin,112607.3791,19/07/21
austin,107206.0304,20/07/21
austin,94946.87366,21/07/21
austin,84597.5833,22/07/21
austin,85237.45479,23/07/21
austin,72961.29186,24/07/21
austin,68522.28194,25/07/21
austin,59577.89783,26/07/21
austin,56561.78174,27/07/21
austin,41233.9976,28/07/21
austin,32058.23163,29/07/21
austin,21555.16567,30/07/21
austin,7443.216645,31/07/21
austin,31050.17957,01/08/21
austin,46785.23027,02/08/21
austin,62552.90559,03/08/21
austin,70128.47865,04/08/21
austin,67941.34107,05/08/21
austin,90063.32471,06/08/21
austin,89972.90219,07/08/21
austin,96822.30828,08/08/21
austin,115150.2894,09/08/21
austin,115741.5588,10/08/21
austin,102138.6711,11/08/21
austin,106986.2401,12/08/21
austin,115607.6735,13/08/21
austin,108802.5294,14/08/21
austin,110127.9102,15/08/21
austin,132887.9609,16/08/21
austin,113202.1916,17/08/21
austin,124355.8113,18/08/21
austin,118579.8959,19/08/21
austin,119931.485,20/08/21
austin,106093.1521,21/08/21
austin,103697.808,22/08/21
austin,100444.3964,23/08/21
austin,101504.1056,24/08/21
austin,79358.22563,25/08/21
austin,71286.49797,26/08/21
austin,59910.64183,27/08/21
austin,42209.46846,28/08/21
austin,40546.97292,29/08/21
austin,24920.61564,30/08/21
austin,10376.60348,31/08/21
austin,40343.76306,01/09/21
austin,51673.6865,02/09/21
austin,64154.45678,03/09/21
austin,68043.00968,04/09/21
austin,78987.40096,05/09/21
austin,119863.4085,06/09/21
austin,126618.2597,07/09/21
austin,112021.5088,08/09/21
austin,129715.3651,09/09/21
austin,119998.6483,10/09/21
austin,127053.6664,11/09/21
austin,130326.4249,12/09/21
austin,127794.5291,13/09/21
austin,144760.3133,14/09/21
austin,136819.9277,15/09/21
baltimore,90429.14047,03/06/21
baltimore,83098.3271,04/06/21
baltimore,109091.7383,05/06/21
baltimore,104709.5029,06/06/21
baltimore,99446.70446,07/06/21
baltimore,139092.1561,08/06/21
baltimore,157404.6514,09/06/21
baltimore,148615.3255,10/06/21
baltimore,144273.7976,11/06/21
baltimore,159268.1538,12/06/21
baltimore,143788.8653,13/06/21
baltimore,177369.2586,14/06/21
baltimore,196028.6544,15/06/21
baltimore,180500.2818,16/06/21
baltimore,182567.0523,17/06/21
baltimore,162814.3789,18/06/21
baltimore,137301.9393,19/06/21
baltimore,145684.0595,20/06/21
baltimore,173076.3408,21/06/21
baltimore,158134.5946,22/06/21
baltimore,127086.7391,23/06/21
baltimore,120893.0819,24/06/21
baltimore,106300.4806,25/06/21
baltimore,81558.3774,26/06/21
baltimore,72069.37188,27/06/21
baltimore,70041.57838,28/06/21
baltimore,51995.16689,29/06/21
baltimore,34873.87323,30/06/21
baltimore,48451.77614,01/07/21
baltimore,69197.92902,02/07/21
baltimore,75932.02931,03/07/21
baltimore,81816.71659,04/07/21
baltimore,102236.3117,05/07/21
baltimore,120361.8053,06/07/21
baltimore,150833.3591,07/07/21
baltimore,169239.2155,08/07/21
baltimore,96695.9948,09/07/21
baltimore,150059.8385,10/07/21
baltimore,140905.5241,11/07/21
baltimore,167853.811,12/07/21
baltimore,174156.8666,13/07/21
baltimore,197749.9804,14/07/21
baltimore,208254.7076,15/07/21
baltimore,162721.4162,16/07/21
baltimore,181342.5093,17/07/21
baltimore,109547.5644,18/07/21
baltimore,210058.0287,19/07/21
baltimore,193870.4858,20/07/21
baltimore,161276.4748,21/07/21
baltimore,152794.4482,22/07/21
baltimore,129004.3888,23/07/21
baltimore,124831.3618,24/07/21
baltimore,98303.11986,25/07/21
baltimore,102658.0965,26/07/21
baltimore,103362.6959,27/07/21
baltimore,76028.80409,28/07/21
baltimore,61932.44748,29/07/21
baltimore,31444.38233,30/07/21
baltimore,12512.04285,31/07/21
baltimore,44705.75592,01/08/21
baltimore,76923.08441,02/08/21
baltimore,104376.3954,03/08/21
baltimore,112843.0975,04/08/21
baltimore,121653.0797,05/08/21
baltimore,139176.5085,06/08/21
baltimore,150016.8018,07/08/21
baltimore,132868.4336,08/08/21
baltimore,179490.8588,09/08/21
baltimore,184653.4738,10/08/21
baltimore,194644.3584,11/08/21
baltimore,198623.86,12/08/21
baltimore,176144.7915,13/08/21
baltimore,174939.1589,14/08/21
baltimore,159240.8974,15/08/21
baltimore,219445.3422,16/08/21
baltimore,207861.7128,17/08/21
baltimore,216250.886,18/08/21
baltimore,192019.1813,19/08/21
baltimore,169362.1357,20/08/21
baltimore,159593.1177,21/08/21
baltimore,140499.2954,22/08/21
baltimore,166385.7014,23/08/21
baltimore,142511.7643,24/08/21
baltimore,130882.3971,25/08/21
baltimore,129029.9899,26/08/21
baltimore,96209.20705,27/08/21
baltimore,75444.49385,28/08/21
baltimore,52269.35196,29/08/21
baltimore,38747.40726,30/08/21
baltimore,15329.62649,31/08/21
baltimore,58615.30205,01/09/21
baltimore,71602.87292,02/09/21
baltimore,80494.13459,03/09/21
baltimore,89006.23071,04/09/21
baltimore,97362.73809,05/09/21
baltimore,145427.5321,06/09/21
baltimore,179635.3855,07/09/21
baltimore,162454.8305,08/09/21
baltimore,186523.9882,09/09/21
baltimore,176888.0591,10/09/21
baltimore,211168.1095,11/09/21
baltimore,174268.8834,12/09/21
baltimore,194329.1522,13/09/21
baltimore,219013.8339,14/09/21
baltimore,223862.6613,15/09/21
baton rouge,61372.6817,03/06/21
baton rouge,56739.99879,04/06/21
baton rouge,63888.43013,05/06/21
baton rouge,68308.57483,06/06/21
baton rouge,96771.57962,07/06/21
baton rouge,83688.08386,08/06/21
baton rouge,105415.3972,09/06/21
baton rouge,105159.6861,10/06/21
baton rouge,100422.2879,11/06/21
baton rouge,102128.596,12/06/21
baton rouge,89477.87568,13/06/21
baton rouge,114930.5988,14/06/21
baton rouge,142336.0514,15/06/21
baton rouge,107026.8149,16/06/21
baton rouge,118671.0359,17/06/21
baton rouge,120990.1245,18/06/21
baton rouge,92352.69359,19/06/21
baton rouge,88267.79787,20/06/21
baton rouge,115944.7861,21/06/21
baton rouge,117773.8822,22/06/21
baton rouge,92343.33788,23/06/21
baton rouge,90215.81381,24/06/21
baton rouge,77492.69877,25/06/21
baton rouge,58573.74377,26/06/21
baton rouge,52343.52057,27/06/21
baton rouge,54565.17387,28/06/21
baton rouge,36078.00237,29/06/21
baton rouge,25565.29994,30/06/21
baton rouge,37107.54446,01/07/21
baton rouge,47567.21921,02/07/21
baton rouge,48899.69025,03/07/21
baton rouge,52155.12347,04/07/21
baton rouge,67526.07557,05/07/21
baton rouge,84312.12036,06/07/21
baton rouge,94322.16103,07/07/21
baton rouge,107312.084,08/07/21
baton rouge,105066.2747,09/07/21
baton rouge,107995.351,10/07/21
baton rouge,89730.40897,11/07/21
baton rouge,123281.5053,12/07/21
baton rouge,127497.6112,13/07/21
baton rouge,134033.2991,14/07/21
baton rouge,146166.6736,15/07/21
baton rouge,118135.8281,16/07/21
baton rouge,119835.4531,17/07/21
baton rouge,90031.8916,18/07/21
baton rouge,132494.2288,19/07/21
baton rouge,119850.8443,20/07/21
baton rouge,103950.0605,21/07/21
baton rouge,106939.3783,22/07/21
baton rouge,99927.74513,23/07/21
baton rouge,80563.68905,24/07/21
baton rouge,66545.67765,25/07/21
baton rouge,74239.64612,26/07/21
baton rouge,65157.86801,27/07/21
baton rouge,54062.72026,28/07/21
baton rouge,41948.70309,29/07/21
baton rouge,23997.22758,30/07/21
baton rouge,7767.586923,31/07/21
baton rouge,28042.70144,01/08/21
baton rouge,56571.61447,02/08/21
baton rouge,67854.47472,03/08/21
baton rouge,75060.96016,04/08/21
baton rouge,88951.71646,05/08/21
baton rouge,90299.44578,06/08/21
baton rouge,89202.76814,07/08/21
baton rouge,82836.15738,08/08/21
baton rouge,124318.1302,09/08/21
baton rouge,127380.9825,10/08/21
baton rouge,138395.4789,11/08/21
baton rouge,145948.1221,12/08/21
baton rouge,137311.9513,13/08/21
baton rouge,129223.5592,14/08/21
baton rouge,110477.9671,15/08/21
baton rouge,150327.3258,16/08/21
baton rouge,135366.8995,17/08/21
baton rouge,144167.2573,18/08/21
baton rouge,133943.5422,19/08/21
baton rouge,114073.974,20/08/21
baton rouge,102758.5452,21/08/21
baton rouge,85654.52559,22/08/21
baton rouge,103927.2118,23/08/21
baton rouge,102812.3808,24/08/21
baton rouge,90653.20414,25/08/21
baton rouge,93486.74203,26/08/21
baton rouge,71376.50615,27/08/21
baton rouge,50481.24221,28/08/21
baton rouge,34340.34131,29/08/21
baton rouge,28706.28187,30/08/21
baton rouge,10912.06543,31/08/21
baton rouge,40868.50957,01/09/21
baton rouge,50828.11924,02/09/21
baton rouge,57900.01979,03/09/21
baton rouge,57858.26827,04/09/21
baton rouge,56962.72268,05/09/21
baton rouge,100432.8977,06/09/21
baton rouge,102621.2867,07/09/21
baton rouge,90849.5121,08/09/21
baton rouge,114809.381,09/09/21
baton rouge,112681.1783,10/09/21
baton rouge,113179.1694,11/09/21
baton rouge,87440.89344,12/09/21
baton rouge,115278.5152,13/09/21
baton rouge,122406.354,14/09/21
baton rouge,129714.8131,15/09/21
boston,73215.70969,03/06/21
boston,71028.30052,04/06/21
boston,89611.07075,05/06/21
boston,135065.8978,06/06/21
boston,115794.6896,07/06/21
boston,115813.1341,08/06/21
boston,113906.1046,09/06/21
boston,133698.2704,10/06/21
boston,125661.046,11/06/21
boston,128169.247,12/06/21
boston,173902.1836,13/06/21
boston,144687.1756,14/06/21
boston,160925.8489,15/06/21
boston,150664.7563,16/06/21
boston,154615.61,17/06/21
boston,153355.5997,18/06/21
boston,146905.339,19/06/21
boston,202155.1975,20/06/21
boston,144215.1338,21/06/21
boston,151032.8736,22/06/21
boston,131452.5942,23/06/21
boston,128513.7563,24/06/21
boston,108175.682,25/06/21
boston,89014.74363,26/06/21
boston,117928.9321,27/06/21
boston,71487.97133,28/06/21
boston,52740.86028,29/06/21
boston,34359.1952,30/06/21
boston,52599.55174,01/07/21
boston,67621.39609,02/07/21
boston,81244.58825,03/07/21
boston,124227.7547,04/07/21
boston,93161.54046,05/07/21
boston,119074.3166,06/07/21
boston,152201.6689,07/07/21
boston,160379.0171,08/07/21
boston,142294.758,09/07/21
boston,159009.7295,10/07/21
boston,203087.4008,11/07/21
boston,149095.4189,12/07/21
boston,181070.9595,13/07/21
boston,189611.7127,14/07/21
boston,200749.5607,15/07/21
boston,165318.2471,16/07/21
boston,182486.8266,17/07/21
boston,197692.8379,18/07/21
boston,180456.631,19/07/21
boston,156135.9622,20/07/21
boston,147955.433,21/07/21
boston,129866.9132,22/07/21
boston,115090.8264,23/07/21
boston,111559.7484,24/07/21
boston,137220.262,25/07/21
boston,100822.1457,26/07/21
boston,94813.20086,27/07/21
boston,81756.20801,28/07/21
boston,55598.80172,29/07/21
boston,26439.28949,30/07/21
boston,12243.89676,31/07/21
boston,64396.60933,01/08/21
boston,65011.05547,02/08/21
boston,95708.75061,03/08/21
boston,103749.8832,04/08/21
boston,96300.33742,05/08/21
boston,114552.4534,06/08/21
boston,130843.1196,07/08/21
boston,190783.813,08/08/21
boston,177171.2847,09/08/21
boston,172524.5417,10/08/21
boston,185301.8165,11/08/21
boston,178552.5875,12/08/21
boston,165130.6804,13/08/21
boston,182712.9038,14/08/21
boston,221235.9797,15/08/21
boston,191891.1456,16/08/21
boston,182291.2082,17/08/21
boston,181999.6105,18/08/21
boston,159338.4353,19/08/21
boston,134554.1924,20/08/21
boston,150174.3157,21/08/21
boston,204501.882,22/08/21
boston,136108.4262,23/08/21
boston,130015.4811,24/08/21
boston,126665.1161,25/08/21
boston,115858.4165,26/08/21
boston,82001.94062,27/08/21
boston,68873.91947,28/08/21
boston,71727.36857,29/08/21
boston,34445.51383,30/08/21
boston,13589.37517,31/08/21
boston,58660.65593,01/09/21
boston,71909.07582,02/09/21
boston,79583.41605,03/09/21
boston,98223.07014,04/09/21
boston,141967.4695,05/09/21
boston,131290.6484,06/09/21
boston,156780.9643,07/09/21
boston,132757.4051,08/09/21
boston,163618.8485,09/09/21
boston,149551.1346,10/09/21
boston,162642.1734,11/09/21
boston,207002.5723,12/09/21
boston,234083.5035,13/09/21
boston,183245.9252,14/09/21
boston,178590.1477,15/09/21
chicago,61208.52091,03/06/21
chicago,61372.27926,04/06/21
chicago,75556.43206,05/06/21
chicago,75262.46264,06/06/21
chicago,98937.15688,07/06/21
chicago,92223.72524,08/06/21
chicago,113862.5625,09/06/21
chicago,93277.86309,10/06/21
chicago,103152.6021,11/06/21
chicago,116045.4907,12/06/21
chicago,96255.60181,13/06/21
chicago,108954.2076,14/06/21
chicago,128760.9405,15/06/21
chicago,125430.0362,16/06/21
chicago,132646.7571,17/06/21
chicago,115232.6067,18/06/21
chicago,111186.0274,19/06/21
chicago,100048.0891,20/06/21
chicago,124580.4228,21/06/21
chicago,100703.2858,22/06/21
chicago,87537.22852,23/06/21
chicago,77114.73949,24/06/21
chicago,74726.77667,25/06/21
chicago,66953.41239,26/06/21
chicago,53226.3133,27/06/21
chicago,53932.37695,28/06/21
chicago,35752.60889,29/06/21
chicago,19469.02744,30/06/21
chicago,40156.22495,01/07/21
chicago,53805.54304,02/07/21
chicago,59672.37922,03/07/21
chicago,60573.86387,04/07/21
chicago,72750.94386,05/07/21
chicago,83208.55857,06/07/21
chicago,99567.34891,07/07/21
chicago,107500.5989,08/07/21
chicago,95295.11114,09/07/21
chicago,113229.6812,10/07/21
chicago,103299.0891,11/07/21
chicago,122183.0409,12/07/21
chicago,121844.5794,13/07/21
chicago,128177.7163,14/07/21
chicago,128532.2024,15/07/21
chicago,115698.8022,16/07/21
chicago,128036.3939,17/07/21
chicago,96310.30932,18/07/21
chicago,125729.6482,19/07/21
chicago,103907.3833,20/07/21
chicago,93017.61934,21/07/21
chicago,95433.77225,22/07/21
chicago,85271.22557,23/07/21
chicago,92010.7271,24/07/21
chicago,67358.28164,25/07/21
chicago,70567.74443,26/07/21
chicago,61290.79397,27/07/21
chicago,52738.46502,28/07/21
chicago,37611.87176,29/07/21
chicago,23452.86703,30/07/21
chicago,9975.467281,31/07/21
chicago,33265.14657,01/08/21
chicago,56845.21231,02/08/21
chicago,65049.41168,03/08/21
chicago,75362.94883,04/08/21
chicago,73085.37574,05/08/21
chicago,83688.05565,06/08/21
chicago,102905.843,07/08/21
chicago,85093.01355,08/08/21
chicago,123158.3431,09/08/21
chicago,116720.5758,10/08/21
chicago,119758.802,11/08/21
chicago,128283.5859,12/08/21
chicago,128484.4652,13/08/21
chicago,130808.2072,14/08/21
chicago,118249.2309,15/08/21
chicago,156721.7596,16/08/21
chicago,124771.0879,17/08/21
chicago,135792.1562,18/08/21
chicago,125918.5448,19/08/21
chicago,116897.3786,20/08/21
chicago,114488.1713,21/08/21
chicago,100225.3272,22/08/21
chicago,111171.4678,23/08/21
chicago,97804.84488,24/08/21
chicago,85079.0589,25/08/21
chicago,78229.43144,26/08/21
chicago,64352.91387,27/08/21
chicago,52428.99221,28/08/21
chicago,36095.86667,29/08/21
chicago,25973.31427,30/08/21
chicago,9707.276051,31/08/21
chicago,37705.72766,01/09/21
chicago,45350.32308,02/09/21
chicago,55382.57199,03/09/21
chicago,68497.60776,04/09/21
chicago,68161.30368,05/09/21
chicago,99582.56838,06/09/21
chicago,104520.6428,07/09/21
chicago,90525.18277,08/09/21
chicago,113517.709,09/09/21
chicago,108951.6475,10/09/21
chicago,132847.0696,11/09/21
chicago,112315.0776,12/09/21
chicago,137282.5514,13/09/21
chicago,131551.2114,14/09/21
chicago,119824.7095,15/09/21
cincinnati,63389.51419,03/06/21
cincinnati,65178.1435,04/06/21
cincinnati,74067.33391,05/06/21
cincinnati,79301.06671,06/06/21
cincinnati,107641.9282,07/06/21
cincinnati,99711.81063,08/06/21
cincinnati,120742.2125,09/06/21
cincinnati,105159.6861,10/06/21
cincinnati,109578.8295,11/06/21
cincinnati,106036.0318,12/06/21
cincinnati,91469.5759,13/06/21
cincinnati,124125.0467,14/06/21
cincinnati,153682.4128,15/06/21
cincinnati,135514.6297,16/06/21
cincinnati,135539.9765,17/06/21
cincinnati,127364.5192,18/06/21
cincinnati,95953.96847,19/06/21
cincinnati,104469.9176,20/06/21
cincinnati,138806.4981,21/06/21
cincinnati,124434.5025,22/06/21
cincinnati,96379.00223,23/06/21
cincinnati,93296.51199,24/06/21
cincinnati,85649.82495,25/06/21
cincinnati,63092.32969,26/06/21
cincinnati,55798.58866,27/06/21
cincinnati,56300.8454,28/06/21
cincinnati,40633.51112,29/06/21
cincinnati,25192.60206,30/06/21
cincinnati,46554.52863,01/07/21
cincinnati,53534.31157,02/07/21
cincinnati,56895.35977,03/07/21
cincinnati,60499.19655,04/07/21
cincinnati,89036.64444,05/07/21
cincinnati,99246.98985,06/07/21
cincinnati,114892.4196,07/07/21
cincinnati,116879.2132,08/07/21
cincinnati,107657.9095,09/07/21
cincinnati,105445.9881,10/07/21
cincinnati,108011.7542,11/07/21
cincinnati,130294.7781,12/07/21
cincinnati,136542.4622,13/07/21
cincinnati,157157.8891,14/07/21
cincinnati,163853.6283,15/07/21
cincinnati,138231.3038,16/07/21
cincinnati,131246.8398,17/07/21
cincinnati,92475.21672,18/07/21
cincinnati,150651.7872,19/07/21
cincinnati,141691.8863,20/07/21
cincinnati,116673.9522,21/07/21
cincinnati,109742.5623,22/07/21
cincinnati,107661.2543,23/07/21
cincinnati,83691.53246,24/07/21
cincinnati,68017.14973,25/07/21
cincinnati,75454.99386,26/07/21
cincinnati,77085.22891,27/07/21
cincinnati,46282.72071,28/07/21
cincinnati,49577.15821,29/07/21
cincinnati,25388.37121,30/07/21
cincinnati,9633.797255,31/07/21
cincinnati,33722.36453,01/08/21
cincinnati,59981.06445,02/08/21
cincinnati,80084.54953,03/08/21
cincinnati,84925.92319,04/08/21
cincinnati,83406.84791,05/08/21
cincinnati,107131.5053,06/08/21
cincinnati,101445.2439,07/08/21
cincinnati,95805.13367,08/08/21
cincinnati,147513.872,09/08/21
cincinnati,139564.3045,10/08/21
cincinnati,145801.7428,11/08/21
cincinnati,131507.7043,12/08/21
cincinnati,139296.111,13/08/21
cincinnati,133499.1189,14/08/21
cincinnati,117584.1228,15/08/21
cincinnati,159337.6644,16/08/21
cincinnati,142665.0351,17/08/21
cincinnati,157105.3445,18/08/21
cincinnati,143499.6246,19/08/21
cincinnati,140285.2824,20/08/21
cincinnati,117413.2651,21/08/21
cincinnati,104719.1259,22/08/21
cincinnati,122037.8519,23/08/21
cincinnati,120090.6352,24/08/21
cincinnati,99894.55019,25/08/21
cincinnati,90486.70905,26/08/21
cincinnati,71136.38333,27/08/21
cincinnati,54179.50171,28/08/21
cincinnati,37885.36995,29/08/21
cincinnati,29313.608,30/08/21
cincinnati,12453.54679,31/08/21
cincinnati,42872.17969,01/09/21
cincinnati,53570.85358,02/09/21
cincinnati,66346.80672,03/09/21
cincinnati,66480.48322,04/09/21
cincinnati,68762.29846,05/09/21
cincinnati,109309.9823,06/09/21
cincinnati,119227.4517,07/09/21
cincinnati,101973.079,08/09/21
cincinnati,134612.2311,09/09/21
cincinnati,113888.723,10/09/21
cincinnati,132794.8986,11/09/21
cincinnati,106679.252,12/09/21
cincinnati,127764.8227,13/09/21
cincinnati,150015.6754,14/09/21
cincinnati,156265.5025,15/09/21
cleveland,60598.78086,03/06/21
cleveland,76573.98841,04/06/21
cleveland,104298.0662,05/06/21
cleveland,64189.73359,06/06/21
cleveland,104966.8033,07/06/21
cleveland,93659.26493,08/06/21
cleveland,97490.73706,09/06/21
cleveland,104826.5509,10/06/21
cleveland,128258.1741,11/06/21
cleveland,157341.1992,12/06/21
cleveland,150566.5915,13/06/21
cleveland,128889.4424,14/06/21
cleveland,139904.6883,15/06/21
cleveland,117901.4456,16/06/21
cleveland,139512.0236,17/06/21
cleveland,148214.9588,18/06/21
cleveland,150213.1767,19/06/21
cleveland,155675.3666,20/06/21
cleveland,126534.8038,21/06/21
cleveland,105114.2926,22/06/21
cleveland,84859.01491,23/06/21
cleveland,77309.3099,24/06/21
cleveland,86165.50534,25/06/21
cleveland,81908.11315,26/06/21
cleveland,76331.12988,27/06/21
cleveland,53444.21933,28/06/21
cleveland,36905.04414,29/06/21
cleveland,23116.14243,30/06/21
cleveland,36793.51729,01/07/21
cleveland,57806.20724,02/07/21
cleveland,72725.71217,03/07/21
cleveland,84299.405,04/07/21
cleveland,76173.07981,05/07/21
cleveland,76955.04179,06/07/21
cleveland,101574.2034,07/07/21
cleveland,106840.7969,08/07/21
cleveland,119985.6857,09/07/21
cleveland,153422.8279,10/07/21
cleveland,145460.0461,11/07/21
cleveland,122690.0245,12/07/21
cleveland,114973.9714,13/07/21
cleveland,135323.5123,14/07/21
cleveland,127797.4327,15/07/21
cleveland,147260.2849,16/07/21
cleveland,187985.9071,17/07/21
cleveland,158475.9232,18/07/21
cleveland,142768.2534,19/07/21
cleveland,123149.4913,20/07/21
cleveland,104593.1453,21/07/21
cleveland,100621.7546,22/07/21
cleveland,116374.1162,23/07/21
cleveland,119031.8188,24/07/21
cleveland,103552.1024,25/07/21
cleveland,73748.33533,26/07/21
cleveland,69281.19395,27/07/21
cleveland,64292.59201,28/07/21
cleveland,42869.10974,29/07/21
cleveland,28299.18804,30/07/21
cleveland,13818.17384,31/07/21
cleveland,50903.59936,01/08/21
cleveland,56150.69472,02/08/21
cleveland,66395.84194,03/08/21
cleveland,83281.76269,04/08/21
cleveland,83373.44509,05/08/21
cleveland,116239.0326,06/08/21
cleveland,150069.9145,07/08/21
cleveland,142722.3126,08/08/21
cleveland,135474.1775,09/08/21
cleveland,129665.3554,10/08/21
cleveland,130747.1803,11/08/21
cleveland,135549.2049,12/08/21
cleveland,154561.9929,13/08/21
cleveland,184626.441,14/08/21
cleveland,169042.4915,15/08/21
cleveland,154919.6919,16/08/21
cleveland,132934.1877,17/08/21
cleveland,129265.3533,18/08/21
cleveland,135474.6272,19/08/21
cleveland,139779.598,20/08/21
cleveland,166174.5788,21/08/21
cleveland,148499.6187,22/08/21
cleveland,116000.9719,23/08/21
cleveland,92075.50203,24/08/21
cleveland,87132.69136,25/08/21
cleveland,84515.21483,26/08/21
cleveland,77299.53553,27/08/21
cleveland,71931.14732,28/08/21
cleveland,47931.50542,29/08/21
cleveland,25214.15661,30/08/21
cleveland,10068.30721,31/08/21
cleveland,36161.475,01/09/21
cleveland,48046.48088,02/09/21
cleveland,65223.34245,03/09/21
cleveland,89630.53982,04/09/21
cleveland,88139.58344,05/09/21
cleveland,98126.59634,06/09/21
cleveland,89769.55895,07/09/21
cleveland,87888.86692,08/09/21
cleveland,112263.3003,09/09/21
cleveland,121962.0224,10/09/21
cleveland,156866.0298,11/09/21
cleveland,136949.8728,12/09/21
cleveland,125918.2561,13/09/21
cleveland,120445.0361,14/09/21
cleveland,114571.4555,15/09/21
columbus,88951.69342,03/06/21
columbus,84946.88972,04/06/21
columbus,108336.9899,05/06/21
columbus,121077.885,06/06/21
